# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
IDH	PF3D7_1345700	PF3D7_1345700.1	protein_coding	0	14	16	94	34	0	0	16	0	0	0	0	0	0	0	0	0	14	60
IF1	PF3D7_1469000	PF3D7_1469000.1	protein_coding	0	0	1	148	76	0	0	1	0	0	0	0	0	0	0	0	0	0	72
IF2a	PF3D7_1312400	PF3D7_1312400.1	protein_coding	0	29	28	125	69	0	0	28	0	0	0	0	0	0	0	0	0	29	56
IF2c	PF3D7_0827100	PF3D7_0827100.1	protein_coding	0	18	28	165	77	0	0	28	0	0	0	0	0	0	0	0	0	18	88
IF3a	PF3D7_0825200	PF3D7_0825200.1	protein_coding	0	1	0	117	55	0	4	0	0	0	0	0	0	0	0	0	0	1	58
IF3b	PF3D7_1034600	PF3D7_1034600.1	protein_coding	1	4	6	135	52	0	0	6	0	0	0	0	2	0	0	1	1	3	83
IK1	PF3D7_1444500	PF3D7_1444500.1	protein_coding	0	30	24	141	72	0	0	24	0	0	0	0	0	0	0	0	0	30	69
IMC1a	PF3D7_0304000	PF3D7_0304000.1	protein_coding	0	12	10	112	52	0	7	10	0	0	0	0	0	0	0	0	0	12	53
IMC1b	PF3D7_1141900	PF3D7_1141900.1	protein_coding	0	3	7	131	79	0	0	7	0	0	0	0	0	0	0	0	0	3	52
IMC1c	PF3D7_1003600	PF3D7_1003600.1	protein_coding	0	1	0	119	69	0	0	0	0	0	0	0	0	0	0	0	0	1	50
IMC1d	PF3D7_0708600	PF3D7_0708600.1	protein_coding	0	1	0	115	68	0	2	0	0	0	0	0	0	0	0	0	0	1	45
IMC1e	PF3D7_0304100	PF3D7_0304100.1	protein_coding	0	3	8	142	84	0	0	8	0	0	0	0	0	0	0	0	0	3	58
IMC1f	PF3D7_1351700	PF3D7_1351700.1	protein_coding	0	18	31	128	70	0	3	31	0	0	0	0	1	0	0	0	0	17	56
IMC1g	PF3D7_0525800	PF3D7_0525800.1	protein_coding	0	2	2	125	66	0	0	2	0	0	0	0	0	0	0	0	0	2	59
IMC1h	PF3D7_1221400	PF3D7_1221400.1	protein_coding	1	20	11	74	38	0	0	11	0	0	0	0	0	0	1	0	0	20	36
IMC1i	PF3D7_0823500	PF3D7_0823500.1	protein_coding	0	2	4	92	43	0	0	4	0	0	0	0	0	0	0	0	0	2	49
IMC1k	PF3D7_1341800	PF3D7_1341800.1	protein_coding	0	6	6	123	59	0	0	6	0	0	0	0	0	0	0	0	0	6	64
IMC1l	PF3D7_1417000	PF3D7_1417000.1	protein_coding	0	6	13	99	46	0	0	13	0	0	0	0	0	0	0	0	0	6	53
IMC1m	PF3D7_1028900	PF3D7_1028900.1	protein_coding	0	1	2	139	74	0	1	2	0	0	0	0	0	0	0	0	0	1	64
IMC20	PF3D7_1447500	PF3D7_1447500.1	protein_coding	0	2	1	90	48	0	1	1	0	0	0	0	0	0	0	0	0	2	41
IMP3	PF3D7_1461200	PF3D7_1461200.1	protein_coding	0	22	7	73	44	0	0	7	0	0	0	0	0	0	0	0	0	22	29
IMP4	PF3D7_0818800	PF3D7_0818800.1	protein_coding	0	6	2	245	79	0	0	2	0	0	0	0	0	0	0	0	0	6	166
IMPDH	PF3D7_0920800	PF3D7_0920800.1	protein_coding	0	28	13	110	54	0	0	13	0	0	0	0	0	0	0	0	0	28	56
INO1	PF3D7_0511800	PF3D7_0511800.1	protein_coding	0	10	1	93	33	0	7	1	0	0	0	0	0	0	0	0	0	10	53
INT	PF3D7_1308800	PF3D7_1308800.1	protein_coding	0	9	6	191	71	0	27	6	0	0	0	0	3	0	0	0	0	6	96
IP5P	PF3D7_1354200	PF3D7_1354200.1	protein_coding	0	14	19	141	49	0	0	19	0	0	0	0	0	0	0	0	0	14	92
IPK2	PF3D7_1316100	PF3D7_1316100.1	protein_coding	0	13	36	126	68	0	0	36	0	0	0	0	0	0	0	0	0	13	58
IRP	PF3D7_1342100	PF3D7_1342100.1	protein_coding	0	26	19	110	58	0	0	19	0	0	0	0	0	0	0	0	0	26	52
ISC1	PF3D7_1341500	PF3D7_1341500.1	protein_coding	0	5	8	95	60	0	0	8	0	0	0	0	0	0	0	0	0	5	35
ISC3	PF3D7_1431900	PF3D7_1431900.1	protein_coding	0	4	10	105	50	0	16	10	0	0	0	0	0	0	0	0	0	4	39
ISD11	PF3D7_1311000	PF3D7_1311000.1	protein_coding	0	0	0	189	97	0	0	0	0	0	0	0	0	0	0	0	0	0	92
ISP1	PF3D7_1011000	PF3D7_1011000.1	protein_coding	0	13	1	144	83	0	5	1	0	0	0	0	0	0	0	0	0	13	56
ISP3	PF3D7_1460600	PF3D7_1460600.1	protein_coding	0	24	12	120	53	0	0	12	0	0	0	0	0	0	0	0	0	24	67
ISWI	PF3D7_0624600	PF3D7_0624600.1	protein_coding	0	166	60	104	62	0	0	60	0	0	0	0	0	0	0	0	0	166	42
ISY1	PF3D7_1472000	PF3D7_1472000.1	protein_coding	2	2	0	142	88	0	7	0	0	0	2	0	0	0	0	0	0	2	49
IscA1	PF3D7_0207200	PF3D7_0207200.1	protein_coding	0	2	2	105	45	0	0	2	0	0	0	0	0	0	0	0	0	2	60
IscA2	PF3D7_0322500	PF3D7_0322500.1	protein_coding	0	4	9	112	55	0	0	9	0	0	0	0	0	0	0	0	0	4	57
IscU1	PF3D7_1454500	PF3D7_1454500.1	protein_coding	0	0	0	183	97	0	0	0	0	0	0	0	0	0	0	0	0	0	86
IscU2	PF3D7_0930900	PF3D7_0930900.1	protein_coding	0	0	4	98	55	0	1	4	0	0	0	0	0	0	0	0	0	0	42
IspD	PF3D7_0106900	PF3D7_0106900.1	protein_coding	0	7	15	115	58	0	0	15	0	0	0	0	0	0	0	0	0	7	57
IspE	PF3D7_0503100	PF3D7_0503100.1	protein_coding	0	5	16	154	63	0	0	16	0	0	0	0	0	0	0	0	0	5	91
IspF	PF3D7_0209300	PF3D7_0209300.1	protein_coding	0	1	0	88	42	0	0	0	0	0	0	0	0	0	0	0	0	1	46
JmjC1	PF3D7_0809900	PF3D7_0809900.1	protein_coding	0	14	17	93	34	0	8	17	0	0	0	0	1	0	0	0	0	14	51
JmjC2	PF3D7_0602800	PF3D7_0602800.1	protein_coding	0	14	22	120	72	0	0	22	0	0	0	0	0	0	0	0	0	14	48
K1	PF3D7_1227200	PF3D7_1227200.1	protein_coding	1	21	28	125	49	0	10	28	0	0	1	0	2	0	0	0	0	20	68
K13	PF3D7_1343700	PF3D7_1343700.1	protein_coding	0	90	19	126	57	0	0	19	0	0	0	0	0	0	0	0	0	90	69
K2	PF3D7_1465500	PF3D7_1465500.1	protein_coding	0	25	15	108	48	0	0	15	0	0	0	0	0	0	0	0	0	25	60
KAE1	PF3D7_0408900	PF3D7_0408900.1	protein_coding	0	2	7	108	32	0	16	7	0	0	0	0	0	0	0	0	0	2	60
KAE1	PF3D7_0408900	PF3D7_0408900.2	protein_coding	0	2	7	108	32	0	16	7	0	0	0	0	0	0	0	0	0	2	60
KAE1	PF3D7_1030600	PF3D7_1030600.1	protein_coding	0	21	13	124	44	0	0	13	0	0	0	0	0	0	0	0	0	21	80
KAHRP	PF3D7_0202000	PF3D7_0202000.1	protein_coding	0	2	9	87	33	0	5	9	0	0	0	0	0	0	0	0	0	2	49
KAHsp40	PF3D7_0201800	PF3D7_0201800.1	protein_coding	0	0	2	87	23	0	9	2	0	0	0	0	0	0	0	0	0	0	55
KARalpha	PF3D7_0812400	PF3D7_0812400.1	protein_coding	0	68	7	64	35	0	0	7	0	0	0	0	0	0	0	0	0	68	29
KASIII	PF3D7_0211400	PF3D7_0211400.1	protein_coding	0	1	1	104	48	0	16	1	0	0	0	0	1	0	0	0	0	0	41
KASbeta	PF3D7_0524000	PF3D7_0524000.1	protein_coding	0	73	20	94	62	0	0	20	0	0	0	0	0	0	0	0	0	73	32
KDH	PF3D7_0820700	PF3D7_0820700.1	protein_coding	0	81	13	137	69	0	6	13	0	0	0	0	2	0	0	0	0	79	64
KIN	PF3D7_1454300	PF3D7_1454300.1	protein_coding	0	4	9	136	84	0	0	9	0	0	0	0	0	0	0	0	0	4	52
KLP8	PF3D7_1245100	PF3D7_1245100.1	protein_coding	0	24	19	152	81	0	5	19	0	0	0	0	0	0	0	0	0	24	66
KRI1	PF3D7_0825500	PF3D7_0825500.1	protein_coding	1	16	13	133	82	0	0	13	0	0	0	0	0	1	0	0	0	16	51
KROX1	PF3D7_1209300	PF3D7_1209300.1	protein_coding	0	25	57	118	46	0	0	57	0	0	0	0	0	0	0	0	0	25	72
KRR1	PF3D7_0208200	PF3D7_0208200.1	protein_coding	0	14	9	124	75	0	0	9	0	0	0	0	0	0	0	0	0	14	49
KRS1	PF3D7_1350100	PF3D7_1350100.1	protein_coding	0	40	17	128	61	0	9	17	0	0	0	0	0	0	0	0	0	40	58
L22	PF3D7_1467400	PF3D7_1467400.1	protein_coding	0	3	5	156	91	0	0	5	0	0	0	0	0	0	0	0	0	3	65
LAP	PF3D7_1446200	PF3D7_1446200.1	protein_coding	0	17	2	136	77	0	0	2	0	0	0	0	0	0	0	0	0	17	59
LAP5	PF3D7_1451600	PF3D7_1451600.1	protein_coding	0	11	15	144	82	0	5	15	0	0	0	0	0	0	0	0	0	11	57
LDH	PF3D7_1324900	PF3D7_1324900.1	protein_coding	0	2	1	107	79	0	0	1	0	0	0	0	0	0	0	0	0	2	28
LISP1	PF3D7_1418100	PF3D7_1418100.1	protein_coding	0	24	65	85	28	0	0	65	0	0	0	0	0	0	0	0	0	24	57
LISP2	PF3D7_0405300	PF3D7_0405300.1	protein_coding	0	29	141	163	72	0	0	141	0	0	0	0	0	0	0	0	0	29	91
LMF1	PF3D7_0824700	PF3D7_0824700.1	protein_coding	1	10	9	100	36	0	28	9	0	0	1	0	7	0	0	0	0	3	44
LPAAT	PF3D7_1444300	PF3D7_1444300.1	protein_coding	0	5	0	111	59	0	14	0	0	0	0	0	2	0	0	0	0	4	39
LPD1	PF3D7_1232200	PF3D7_1232200.1	protein_coding	0	6	2	227	71	0	6	2	0	0	0	0	0	0	0	0	0	6	150
LRR1	PF3D7_1032800	PF3D7_1032800.1	protein_coding	0	4	1	213	124	0	15	1	0	0	0	0	1	0	0	0	0	3	75
LRR10	PF3D7_1146500	PF3D7_1146500.1	protein_coding	0	4	11	136	65	0	0	11	0	0	0	0	0	0	0	0	0	4	71
LRR11	PF3D7_1123200	PF3D7_1123200.1	protein_coding	1	12	19	196	72	0	5	19	0	0	0	0	0	1	0	0	0	12	119
LRR12	PF3D7_1249600	PF3D7_1249600.1	protein_coding	2	5	17	239	131	0	34	17	0	0	0	1	2	0	1	0	0	4	76
LRR13	PF3D7_1228100	PF3D7_1228100.1	protein_coding	0	4	4	133	88	0	5	4	0	0	0	0	0	0	0	0	0	4	40
LRR14.1	PF3D7_1468300	PF3D7_1468300.1	protein_coding	0	5	3	109	54	0	5	3	0	0	0	0	2	0	0	0	1	3	51
LRR2	PF3D7_0509200	PF3D7_0509200.1	protein_coding	0	3	6	165	88	0	3	6	0	0	0	0	1	0	0	0	0	2	75
LRR3	PF3D7_1452100	PF3D7_1452100.1	protein_coding	0	15	14	127	52	0	0	14	0	0	0	0	0	0	0	0	0	15	75
LRR4.1	PF3D7_1347800	PF3D7_1347800.1	protein_coding	0	0	3	158	60	0	18	3	0	0	0	0	0	0	0	0	0	0	80
LRR5	PF3D7_1432400	PF3D7_1432400.1	protein_coding	0	6	15	155	68	0	28	15	0	0	0	0	2	0	0	0	0	5	60
LRR6	PF3D7_0612200	PF3D7_0612200.1	protein_coding	1	14	47	177	108	0	22	47	0	0	0	0	1	0	0	1	0	14	47
LRR8	PF3D7_0930200	PF3D7_0930200.1	protein_coding	0	1	9	183	45	0	18	9	0	0	0	0	0	0	0	0	0	1	120
LRR9	PF3D7_0906700	PF3D7_0906700.1	protein_coding	0	5	14	114	53	0	0	14	0	0	0	0	0	0	0	0	0	5	61
LSA1	PF3D7_1036400	PF3D7_1036400.1	protein_coding	0	60	95	254	51	0	0	95	0	0	0	0	0	0	0	0	0	60	203
LSA3	PF3D7_0220000	PF3D7_0220000.1	protein_coding	0	22	76	159	47	0	2	76	0	0	0	0	0	0	0	0	0	22	110
LSAP1	PF3D7_1201300	PF3D7_1201300.1	protein_coding	0	0	4	191	127	0	0	4	0	0	0	0	0	0	0	0	0	0	64
LSAP2	PF3D7_0202100	PF3D7_0202100.1	protein_coding	0	2	16	70	33	0	0	16	0	0	0	0	0	0	0	0	0	2	37
LSD1	PF3D7_1211600	PF3D7_1211600.1	protein_coding	0	46	96	311	218	0	10	96	0	0	0	0	0	0	0	0	0	46	83
LSM1	PF3D7_1124400	PF3D7_1124400.1	protein_coding	0	3	0	108	41	0	8	0	0	0	0	0	1	0	0	0	0	3	59
LSM2	PF3D7_0520300	PF3D7_0520300.1	protein_coding	0	5	2	99	43	0	8	2	0	0	0	0	2	0	0	0	0	3	50
LSM3	PF3D7_0819900	PF3D7_0819900.1	protein_coding	0	0	0	147	57	0	9	0	0	0	0	0	0	0	0	0	0	0	81
LSM4	PF3D7_1107000	PF3D7_1107000.1	protein_coding	0	1	0	135	69	0	10	0	0	0	0	0	0	0	0	0	0	1	56
LSM5	PF3D7_1443300	PF3D7_1443300.1	protein_coding	0	2	0	96	49	0	2	0	0	0	0	0	0	0	0	0	0	2	45
LSM6	PF3D7_1325000	PF3D7_1325000.1	protein_coding	0	2	0	111	25	0	0	0	0	0	0	0	0	0	0	0	0	2	86
LSM7	PF3D7_1209200	PF3D7_1209200.1	protein_coding	1	1	1	142	87	0	9	1	0	0	1	0	2	0	0	0	0	0	48
LSM8	PF3D7_0829300	PF3D7_0829300.1	protein_coding	0	1	0	156	85	0	2	0	0	0	0	0	0	0	0	0	0	1	69
LSUA	mal_rna_14	mal_rna_14:rRNA	rRNA	0	0	0	291	267	0	0	0	4	0	0	0	0	0	0	0	0	0	20
LSUB	mal_rna_12	mal_rna_12:rRNA	rRNA	0	0	0	291	252	0	0	0	1	0	0	0	0	0	0	0	0	0	38
LSUC	malmito_rna_LSUC	malmito_rna_LSUC:rRNA	rRNA	0	1	0	271	7	0	0	0	1	0	0	0	1	0	0	0	0	0	264
LSUD	mal_rna_18	mal_rna_18:rRNA	rRNA	0	0	0	262	258	0	0	0	2	0	0	0	0	0	0	0	0	0	2
LSUE	mal_rna_17	mal_rna_17:rRNA	rRNA	0	1	0	268	261	0	0	0	4	0	0	0	1	0	0	0	0	0	4
LSUF	malmito_rna_LSUF	malmito_rna_LSUF:rRNA	rRNA	0	0	0	291	202	0	0	0	3	0	0	0	0	0	0	0	0	0	86
LSUG	malmito_rna_LSUG	malmito_rna_LSUG:rRNA	rRNA	0	0	0	282	14	0	0	0	0	0	0	0	0	0	0	0	0	0	268
LigI	PF3D7_1304100	PF3D7_1304100.1	protein_coding	0	55	19	137	60	0	3	19	0	0	0	0	0	0	0	0	0	55	74
LipA	PF3D7_1344600	PF3D7_1344600.1	protein_coding	0	24	17	125	66	0	0	17	0	0	0	0	0	0	0	0	0	24	59
LipB	PF3D7_0823600	PF3D7_0823600.1	protein_coding	0	3	6	117	46	0	0	6	0	0	0	0	0	0	0	0	0	3	71
LipL1	PF3D7_1314600	PF3D7_1314600.1	protein_coding	0	21	16	110	63	0	0	16	0	0	0	0	0	0	0	0	0	21	47
LipL2	PF3D7_0923600	PF3D7_0923600.1	protein_coding	0	4	2	123	67	0	0	2	0	0	0	0	0	0	0	0	0	4	56
LyMP	PF3D7_0532400	PF3D7_0532400.1	protein_coding	2	1	12	183	133	0	0	12	0	0	0	0	0	0	2	0	0	1	50
LytB	PF3D7_0104400	PF3D7_0104400.1	protein_coding	0	0	7	99	54	0	0	7	0	0	0	0	0	0	0	0	0	0	45
M18AAP	PF3D7_0932300	PF3D7_0932300.1	protein_coding	0	6	2	127	64	0	0	2	0	0	0	0	0	0	0	0	0	6	63
M1AAP	PF3D7_1311800	PF3D7_1311800.1	protein_coding	0	54	18	209	147	0	0	18	0	0	0	0	0	0	0	0	0	54	62
M566	PF3D7_1035900	PF3D7_1035900.1	protein_coding	0	5	35	89	53	0	0	35	0	0	0	0	0	0	0	0	0	5	36
M712	PF3D7_1035800	PF3D7_1035800.1	protein_coding	0	2	23	100	64	0	0	23	0	0	0	0	0	0	0	0	0	2	36
MA	PF3D7_0316000	PF3D7_0316000.1	protein_coding	0	0	2	109	60	0	0	2	0	0	0	0	0	0	0	0	0	0	49
MAEBL	PF3D7_1147800	PF3D7_1147800.1	protein_coding	1	24	45	172	114	0	9	45	0	0	1	0	1	0	0	0	0	23	51
MAEBL	PF3D7_1147800	PF3D7_1147800.2	protein_coding	1	24	44	172	117	0	6	44	0	0	1	0	1	0	0	0	0	23	51
MAHRP1	PF3D7_1370300	PF3D7_1370300.1	protein_coding	0	3	7	93	29	0	3	7	0	0	0	0	1	0	0	0	0	2	62
MAHRP2	PF3D7_1353200	PF3D7_1353200.1	protein_coding	0	1	4	132	71	0	3	4	0	0	0	0	1	0	0	0	0	0	59
MAK16	PF3D7_0203700	PF3D7_0203700.1	protein_coding	0	5	15	115	61	0	6	15	0	0	0	0	0	0	0	0	0	5	48
MAPK1	PF3D7_1431500	PF3D7_1431500.1	protein_coding	0	23	18	129	53	0	0	18	0	0	0	0	0	0	0	0	0	23	76
MAPK2	PF3D7_1113900	PF3D7_1113900.1	protein_coding	1	55	15	86	41	0	0	15	0	0	0	0	0	0	1	0	0	55	45
MAS1	PF3D7_0933600	PF3D7_0933600.1	protein_coding	0	24	9	98	30	0	0	9	0	0	0	0	0	0	0	0	0	24	68
MAT1	PF3D7_0512300	PF3D7_0512300.1	protein_coding	0	10	5	100	65	0	0	5	0	0	0	0	0	0	0	0	0	10	35
MAg-1	PF3D7_0405200	PF3D7_0405200.1	protein_coding	0	4	17	223	151	0	23	17	0	0	0	0	2	0	0	0	0	3	50
MB2	PF3D7_0516600	PF3D7_0516600.1	protein_coding	0	19	34	180	82	0	0	34	0	0	0	0	0	0	0	0	0	19	98
MBF1	PF3D7_1128200	PF3D7_1128200.1	protein_coding	0	17	2	87	39	0	0	2	0	0	0	0	0	0	0	0	0	17	48
MC-2TM	PF3D7_0101300	PF3D7_0101300.1	protein_coding	2	13	84	265	196	0	7	84	0	0	0	0	2	0	2	0	0	13	62
MC-2TM	PF3D7_0114100	PF3D7_0114100.1	protein_coding	3	11	75	312	221	0	0	75	0	0	0	0	1	0	3	0	0	11	91
MC-2TM	PF3D7_0222100	PF3D7_0222100.1	protein_coding	3	11	83	243	188	0	6	83	0	0	0	0	0	0	3	0	0	11	49
MC-2TM	PF3D7_0324100	PF3D7_0324100.1	protein_coding	1	21	89	248	198	0	4	89	0	0	0	0	2	0	1	0	1	20	46
MC-2TM	PF3D7_0601200	PF3D7_0601200.1	protein_coding	2	11	74	350	270	0	5	74	0	0	0	0	1	0	2	0	0	11	75
MC-2TM	PF3D7_0631400	PF3D7_0631400.1	protein_coding	0	5	21	298	270	0	1	21	0	0	0	0	1	0	0	0	0	5	27
MC-2TM	PF3D7_0700800	PF3D7_0700800.1	protein_coding	0	15	57	751	331	0	5	57	0	0	0	0	1	0	0	0	1	14	415
MC-2TM	PF3D7_0701600	PF3D7_0701600.1	protein_coding	1	14	59	683	658	0	9	59	0	0	0	0	2	0	1	0	0	14	16
MC-2TM	PF3D7_0713100	PF3D7_0713100.1	protein_coding	5	25	92	738	324	0	8	92	0	0	0	0	3	0	5	0	0	23	408
MC-2TM	PF3D7_1039700	PF3D7_1039700.1	protein_coding	2	15	66	200	120	0	4	66	0	0	0	0	0	0	2	0	0	15	76
MC-2TM	PF3D7_1100800	PF3D7_1100800.1	protein_coding	2	25	96	777	335	0	6	96	0	0	0	0	6	0	2	0	1	21	439
MC-2TM	PF3D7_1101700	PF3D7_1101700.1	protein_coding	2	15	53	124	66	0	10	53	0	0	0	0	1	0	2	0	0	15	48
MCA1	PF3D7_1354800	PF3D7_1354800.1	protein_coding	0	11	7	111	80	0	0	7	0	0	0	0	0	0	0	0	0	11	31
MCA2	PF3D7_1438400	PF3D7_1438400.1	protein_coding	1	21	57	149	48	0	26	57	0	0	0	0	1	0	1	0	0	20	76
MCA3	PF3D7_1416200	PF3D7_1416200.1	protein_coding	0	20	54	134	76	0	0	54	0	0	0	0	0	0	0	0	0	20	58
MCAT	PF3D7_1312000	PF3D7_1312000.1	protein_coding	1	17	17	205	55	0	0	17	0	0	0	0	0	0	1	0	0	17	150
MCM2	PF3D7_1417800	PF3D7_1417800.1	protein_coding	0	82	17	92	48	0	3	17	0	0	0	0	0	0	0	0	0	82	41
MCM3	PF3D7_0527000	PF3D7_0527000.1	protein_coding	1	119	34	147	71	0	1	34	0	0	0	0	0	0	1	0	0	119	75
MCM4	PF3D7_1317100	PF3D7_1317100.1	protein_coding	0	97	23	121	67	0	0	23	0	0	0	0	0	0	0	0	0	97	54
MCM5	PF3D7_1211700	PF3D7_1211700.1	protein_coding	0	176	21	138	76	0	5	21	0	0	0	0	1	0	0	0	0	175	58
MCM6	PF3D7_1355100	PF3D7_1355100.1	protein_coding	0	81	12	77	42	0	0	12	0	0	0	0	0	0	0	0	0	81	35
MCM7	PF3D7_0705400	PF3D7_0705400.1	protein_coding	0	52	8	128	80	0	0	8	0	0	0	0	0	0	0	0	0	52	48
MCM8	PF3D7_1211300	PF3D7_1211300.1	protein_coding	0	36	20	147	62	0	8	20	0	0	0	0	0	0	0	0	0	36	77
MCM9	PF3D7_0416300	PF3D7_0416300.1	protein_coding	0	2	15	90	53	0	0	15	0	0	0	0	0	0	0	0	0	2	37
MDH	PF3D7_0618500	PF3D7_0618500.1	protein_coding	0	0	1	147	85	0	0	1	0	0	0	0	0	0	0	0	0	0	62
MDR1	PF3D7_0523000	PF3D7_0523000.1	protein_coding	0	91	48	141	90	0	0	48	0	0	0	0	0	0	0	0	0	91	51
MDR2	PF3D7_1447900	PF3D7_1447900.1	protein_coding	0	29	16	73	39	0	0	16	0	0	0	0	0	0	0	0	0	29	34
MDV1	PF3D7_1216500	PF3D7_1216500.1	protein_coding	0	1	3	175	86	0	0	3	0	0	0	0	0	0	0	0	0	1	89
MED7	PF3D7_0822100	PF3D7_0822100.1	protein_coding	0	1	1	147	91	0	0	1	0	0	0	0	0	0	0	0	0	1	56
MESA	PF3D7_0500800	PF3D7_0500800.1	protein_coding	0	11	43	305	268	0	0	43	0	0	0	0	0	0	0	0	0	11	37
METAP1a	PF3D7_0527300	PF3D7_0527300.1	protein_coding	0	6	3	153	70	0	19	3	0	0	0	0	1	0	0	0	0	5	65
METAP1b	PF3D7_1015300	PF3D7_1015300.1	protein_coding	1	21	15	189	65	0	0	15	0	0	0	0	0	0	1	0	0	21	124
METAP1c	PF3D7_0804400	PF3D7_0804400.1	protein_coding	2	10	19	134	57	0	0	19	0	0	0	0	0	0	2	0	0	10	77
METAP2	PF3D7_1434600	PF3D7_1434600.1	protein_coding	0	13	13	156	108	0	0	13	0	0	0	0	0	0	0	0	0	13	48
MGE1	PF3D7_1124700	PF3D7_1124700.1	protein_coding	0	7	14	138	76	0	1	14	0	0	0	0	0	0	0	0	0	7	61
MIF	PF3D7_1229400	PF3D7_1229400.1	protein_coding	0	3	3	164	94	0	8	3	0	0	0	0	0	0	0	0	0	3	62
MISFIT	PF3D7_1403800	PF3D7_1403800.1	protein_coding	0	13	39	156	91	0	0	39	0	0	0	0	0	0	0	0	0	13	65
MKP1	PF3D7_1305500	PF3D7_1305500.1	protein_coding	0	1	11	124	70	0	0	11	0	0	0	0	0	0	0	0	0	1	54
MLC-B	PF3D7_1118700	PF3D7_1118700.1	protein_coding	0	13	6	180	97	0	39	6	0	0	0	0	4	0	0	0	0	9	48
MLH	PF3D7_1117800	PF3D7_1117800.1	protein_coding	0	11	10	134	65	0	0	10	0	0	0	0	0	0	0	0	0	11	69
MND1	PF3D7_1461500	PF3D7_1461500.1	protein_coding	0	1	0	135	44	0	5	0	0	0	0	0	0	0	0	0	0	1	86
MORG1	PF3D7_0803300	PF3D7_0803300.1	protein_coding	0	3	2	168	104	0	12	2	0	0	0	0	1	0	0	0	0	2	53
MORN1	PF3D7_1031200	PF3D7_1031200.1	protein_coding	1	22	14	140	90	0	0	14	0	0	0	0	0	0	1	0	0	22	50
MPC	PF3D7_1202200	PF3D7_1202200.1	protein_coding	0	24	14	139	67	0	0	14	0	0	0	0	0	0	0	0	0	24	72
MPC1	PF3D7_1340800	PF3D7_1340800.1	protein_coding	0	0	2	159	64	0	0	2	0	0	0	0	0	0	0	0	0	0	95
MPC2	PF3D7_1470400	PF3D7_1470400.1	protein_coding	0	0	1	130	46	0	8	1	0	0	0	0	0	0	0	0	0	0	76
MPP10	PF3D7_1027100	PF3D7_1027100.1	protein_coding	0	7	21	146	90	0	0	21	0	0	0	0	0	0	0	0	0	7	56
MQO	PF3D7_0616800	PF3D7_0616800.1	protein_coding	0	2	4	111	61	0	0	4	0	0	0	0	0	0	0	0	0	2	50
MRE11	PF3D7_0107800	PF3D7_0107800.1	protein_coding	0	24	22	138	82	0	0	22	0	0	0	0	0	0	0	0	0	24	56
MRK	PF3D7_1014400	PF3D7_1014400.1	protein_coding	0	15	3	77	40	0	0	3	0	0	0	0	0	0	0	0	0	15	37
MRP1	PF3D7_0112200	PF3D7_0112200.1	protein_coding	0	4	15	25	20	0	0	15	0	0	0	0	0	0	0	0	0	4	5
MRP2	PF3D7_1229100	PF3D7_1229100.1	protein_coding	0	20	37	98	32	0	0	37	0	0	0	0	0	0	0	0	0	20	66
MRSapi	PF3D7_1005000	PF3D7_1005000.1	protein_coding	0	5	19	117	80	0	0	19	0	0	0	0	0	0	0	0	0	5	37
MRScyt	PF3D7_1034900	PF3D7_1034900.1	protein_coding	0	39	23	201	99	0	0	23	0	0	0	0	0	0	0	0	0	39	102
MSH2-1	PF3D7_1427500	PF3D7_1427500.1	protein_coding	0	46	17	173	122	0	0	17	0	0	0	0	0	0	0	0	0	46	51
MSH2-2	PF3D7_0706700	PF3D7_0706700.1	protein_coding	0	3	7	124	78	0	0	7	0	0	0	0	0	0	0	0	0	3	46
MSH6	PF3D7_0505500	PF3D7_0505500.1	protein_coding	1	37	17	137	60	0	10	17	0	0	0	0	1	0	0	1	0	37	67
MSP1	PF3D7_0930300	PF3D7_0930300.1	protein_coding	0	19	139	98	43	0	0	139	0	0	0	0	0	0	0	0	0	19	55
MSP10	PF3D7_0620400	PF3D7_0620400.1	protein_coding	0	2	23	92	51	0	0	23	0	0	0	0	0	0	0	0	0	2	41
MSP11	PF3D7_1036000	PF3D7_1036000.1	protein_coding	0	3	7	184	123	0	0	7	0	0	0	0	0	0	0	0	0	3	61
MSP2	PF3D7_0206800	PF3D7_0206800.1	protein_coding	0	1	62	159	88	0	0	62	0	0	0	0	0	0	0	0	0	1	71
MSP3	PF3D7_1035400	PF3D7_1035400.1	protein_coding	2	19	45	158	65	0	0	45	0	0	0	0	0	0	2	0	0	19	93
MSP4	PF3D7_0207000	PF3D7_0207000.1	protein_coding	0	1	26	168	125	0	0	26	0	0	0	0	0	0	0	0	0	1	43
MSP5	PF3D7_0206900	PF3D7_0206900.1	protein_coding	0	3	2	213	142	0	1	2	0	0	0	0	0	0	0	0	0	3	70
